Package                  Version    Latest          Type
------------------------ ---------- --------------- -----
aiodns                   3.5.0      4.0.0           wheel
annotated-types          0.6.0      0.7.0           wheel
anyio                    4.10.0     4.12.1          wheel
click                    8.2.1      8.3.1           wheel
greenlet                 3.2.4      3.3.1           wheel
httpx-sse                0.4.0      0.4.3           wheel
langchain                0.3.25     1.2.7           wheel
langchain-community      0.3.12     0.4.1           wheel
langchain-core           0.3.58     1.2.7           wheel
langchain-openai         0.3.16     1.1.7           wheel
langchain-text-splitters 0.3.8      1.1.0           wheel
langgraph                1.0.1      1.0.7           wheel
langsmith                0.1.147    0.6.6           wheel
MarkupSafe               3.0.2      3.0.3           wheel
marshmallow              3.19.0     4.2.1           wheel
mkl_fft                  2.1.1      2.1.2           wheel
mkl_random               1.3.0      1.3.1           wheel
mkl-service              2.5.2      2.6.1           wheel
multidict                6.7.0      6.7.1           wheel
mypy-extensions          1.0.0      1.1.0           wheel
openai                   1.109.1    2.16.0          wheel
orjson                   3.11.4     3.11.5          wheel
packaging                24.2       26.0            wheel
pycares                  4.10.0     5.0.1           wheel
pycparser                2.23       3.0             wheel
pydantic                 2.12.4     2.12.5          wheel
python-multipart         0.0.20     0.0.22          wheel
regex                    2025.11.3  2026.1.15       wheel
rich                     14.2.0     14.3.1          wheel
setuptools               80.9.0     80.10.2         wheel
SQLAlchemy               2.0.45     2.0.46          wheel
sse-starlette            1.8.2      3.2.0           wheel
starlette                0.47.3     0.52.1          wheel
typer                    0.20.0     0.21.1          wheel
typer-slim               0.20.0     0.21.1          wheel
types-requests           2.30.0.0   2.32.4.20260107 wheel
types-urllib3            1.26.25.13 1.26.25.14      wheel
uuid_utils               0.12.0     0.14.0          wheel
websockets               15.0.1     16.0            wheel
wheel                    0.45.1     0.46.3          wheel
winloop                  0.3.1      0.5.0           wheel
zstandard                0.24.0     0.25.0          wheel
